"adsh","cik_id","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein_id","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","edgar_year"
"0001193125-10-074655",815097,"CARNIVAL CORP",4400,"US","FL","MIAMI","33178-2428","3655 N W 87TH AVE","PO BOX 1347","011 44 20 7940 5381","US","FL","MIAMI","33178","3655 N W 87TH AVE","PO BOX 1347","US","DE",591562976,"CARNIVAL CRUISE LINES INC",19920703,"1-LAF",0,1130,"10-Q",20100228,2010,"Q1",20100401,"2010-04-01 12:02:00.0",0,0,"ccl",2,"1125259","2010Q2"
"0000950123-10-031777",23217,"CONAGRA FOODS INC /DE/",2000,"US","NE","OMAHA","68102","ONE CONAGRA DR","","4025954000","US","NE","OMAHA","68102","ONE CONAGRA DRIVE","","US","DE",470248710,"CONAGRA INC /DE/",19920703,"1-LAF",1,531,"10-Q",20100228,2010,"Q3",20100402,"2010-04-02 12:39:00.0",0,0,"cag",1,"","2010Q2"
"0001193125-10-075874",940944,"DARDEN RESTAURANTS INC",5812,"US","FL","ORLANDO","32837","1000 DARDEN CENTER DRIVE","","4072454000","US","FL","ORLANDO","32837","1000 DARDEN CENTER DRIVE","","US","FL",593305930,"GENERAL MILLS RESTAURANTS INC",19950313,"1-LAF",0,531,"10-Q",20100228,2010,"Q3",20100402,"2010-04-02 15:02:00.0",0,0,"dri",1,"","2010Q2"
"0001193125-10-078534",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",20100228,2010,"Q3",20100407,"2010-04-07 17:11:00.0",0,0,"nke",1,"","2010Q2"
"0000950123-10-033175",1110783,"MONSANTO CO /NEW/",2870,"US","MO","ST LOUIS","63167","800 N LINDBERGH BLVD","","3146941000","US","MO","ST LOUIS","63167","800 NORTH LINDBERGH BLVD","","US","DE",431878297,"",NA,"1-LAF",1,831,"10-Q",20100228,2010,"Q2",20100408,"2010-04-08 15:47:00.0",0,0,"mon",1,"","2010Q2"
"0000796343-10-000007",796343,"ADOBE SYSTEMS INC",7372,"US","CA","SAN JOSE","95110-2704","345 PARK AVE","","4085366000","US","CA","SAN JOSE","95110-2704","345 PARK AVENUE","","US","DE",770019522,"",NA,"1-LAF",1,1130,"10-Q",20100228,2010,"Q1",20100409,"2010-04-08 17:50:00.0",0,1,"adbe",1,"","2010Q2"
"0001193125-10-079766",1393612,"DISCOVER FINANCIAL SERVICES",6141,"US","IL","RIVERWOODS","60015","2500 LAKE COOK ROAD","","224-405-0900","US","IL","RIVERWOODS","60015","2500 LAKE COOK ROAD","","US","DE",362517428,"",NA,"1-LAF",0,1130,"10-Q",20100228,2010,"Q1",20100409,"2010-04-08 19:52:00.0",0,0,"dfs",1,"","2010Q2"
"0000277948-10-000025",277948,"CSX CORP",4011,"US","FL","JACKSONVILLE","32202","500 WATER STREET","15TH FLOOR","9043593200","US","FL","JACKSONVILLE","32202","500 WATER STREET","15TH FLOOR","US","VA",621051971,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100419,"2010-04-19 15:57:00.0",0,0,"csx",1,"","2010Q2"
"0000950123-10-036233",875045,"BIOGEN IDEC INC.",2836,"US","MA","CAMBRIDGE","02142","14 CAMBRIDGE CENTER","","6176792000","US","MA","CAMBRIDGE","02142","14 CAMBRIDGE CENTER","","US","DE",330112644,"BIOGEN IDEC INC",20031112,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100420,"2010-04-20 15:32:00.0",0,0,"biib",1,"","2010Q2"
"0001193125-10-087846",1035267,"INTUITIVE SURGICAL INC",3842,"US","CA","SUNNYVALE","94086","950 KIFER ROAD","","4085232100","US","CA","SUNNYVALE","94086","950 KIFER ROAD","","US","DE",770416458,"",NA,"1-LAF",1,1231,"10-Q",20100331,2010,"Q1",20100420,"2010-04-20 16:53:00.0",0,0,"isrg",1,"","2010Q2"
"0000950123-10-036699",804328,"QUALCOMM INC/DE",3663,"US","CA","SAN DIEGO","92121","5775 MOREHOUSE DR","","8585871121","US","CA","SAN DIEGO","92121","5775 MOREHOUSE DR","","US","DE",953685934,"",NA,"1-LAF",1,930,"10-Q",20100331,2010,"Q2",20100421,"2010-04-21 16:29:00.0",0,0,"qcom",1,"","2010Q2"
