"adsh","cik_id","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein_id","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","edgar_year"
"0000796343-09-000032",796343,"ADOBE SYSTEMS INC",7372,"US","CA","SAN JOSE","95110-2704","345 PARK AVE","","4085366000","US","CA","SAN JOSE","95110-2704","345 PARK AVENUE","","US","DE",770019522,"",NA,"1-LAF",1,1130,"10-Q",20090831,2009,"Q3",20091001,"2009-10-01 06:11:00.0",0,1,"adbe",1,"","2009Q4"
"0001193125-09-201646",815097,"CARNIVAL CORP",4400,"US","FL","MIAMI","33178-2428","3655 N W 87TH AVE","PO BOX 1347","3055992600","US","FL","MIAMI","33178","3655 N W 87TH AVE","PO BOX 1347","US","DE",591562976,"CARNIVAL CRUISE LINES INC",19920703,"1-LAF",0,1130,"10-Q",20090831,2009,"Q3",20091001,"2009-10-01 09:01:00.0",0,0,"ccl",2,"1125259","2009Q4"
"0000950123-09-048892",23217,"CONAGRA FOODS INC /DE/",2000,"US","NE","OMAHA","68102","ONE CONAGRA DR","","4025954000","US","NE","OMAHA","68102","ONE CONAGRA DRIVE","","US","DE",470248710,"CONAGRA INC /DE/",19920703,"1-LAF",1,531,"10-Q",20090831,2010,"Q1",20091007,"2009-10-07 12:37:00.0",0,0,"cag",1,"","2009Q4"
"0001104659-09-058149",886158,"BED BATH & BEYOND INC",5700,"US","NJ","UNION","07083","650 LIBERTY AVENUE","","2013791520","US","NJ","SPRINGFIELD","07081","715 MORRIS AVENUE","","US","NY",112250488,"",NA,"1-LAF",1,228,"10-Q",20090831,2009,"Q2",20091007,"2009-10-07 16:09:00.0",0,0,"bbby",1,"","2009Q4"
"0001193125-09-205021",1393612,"DISCOVER FINANCIAL SERVICES",6141,"US","IL","RIVERWOODS","60015","2500 LAKE COOK ROAD","","224-405-0900","US","IL","RIVERWOODS","60015","2500 LAKE COOK ROAD","","US","DE",362517428,"",NA,"1-LAF",0,1130,"10-Q",20090831,2009,"Q3",20091007,"2009-10-07 17:11:00.0",0,0,"dfs",1,"","2009Q4"
"0001104659-09-058298",764478,"BEST BUY CO INC",5731,"US","MN","RICHFIELD","55423","7601 PENN AVE SOUTH","","6122911000","US","MN","RICHFIELD","55423","7601 PENN AVE SOUTH","","US","MN",410907483,"BEST BUYS CO INC",19900809,"1-LAF",1,228,"10-Q",20090831,2009,"Q2",20091008,"2009-10-08 15:58:00.0",0,0,"bby",1,"","2009Q4"
"0001193125-09-205617",77476,"PEPSICO INC",2080,"US","NY","PURCHASE","10577","700 ANDERSON HILL RD","","9142532000","US","NY","PURCHASE","10577-1444","700 ANDERSON HILL ROAD","","US","NC",131584302,"PEPSI COLA CO",19700903,"1-LAF",0,1231,"10-Q",20090831,2009,"Q3",20091008,"2009-10-08 16:10:00.0",0,0,"pep",1,"","2009Q4"
"0001193125-09-205690",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",20090831,2010,"Q1",20091008,"2009-10-08 17:07:00.0",0,0,"nke",1,"","2009Q4"
"0000950123-09-049454",1076405,"PEPSI BOTTLING GROUP INC",2080,"US","NY","SOMERS","10589-2201","ONE PEPSI WAY","","9147676000","US","NY","SOMERS","10589-2201","ONE PEPSI WAY","","US","DE",134038356,"",NA,"1-LAF",1,1231,"10-Q",20090831,2009,"Q3",20091009,"2009-10-09 10:51:00.0",0,0,"pbg",1,"","2009Q4"
"0000950123-09-049456",1087835,"BOTTLING GROUP LLC",2080,"US","NY","SOMERS","10589-2201","ONE PEPSI WAY","","9142532884","US","NY","SOMERS","10589-2201","ONE PEPSI WAY","","US","DE",134042452,"",NA,"4-NON",1,1231,"10-Q",20090831,2009,"Q3",20091009,"2009-10-09 10:54:00.0",0,0,"bgllc",1,"","2009Q4"
